"TELERIDE_NUMBER","STOP_NAME","POINT"
"8274","WB 17 AV SE @ 47 ST SE","POINT (-113.9662613 51.0379107)"
"3392","1st Street SW","POINT (-114.0654743 51.0466688)"
"6293","NB McCall WY @ Pegasus RD NE","POINT (-114.0114232 51.0945023)"
"2647","WB Skyview CI NE @ Skyview Ranch DR NE","POINT (-113.9516489 51.1568322)"
"8147","NB 52 ST NE @ 26 AV NE","POINT (-113.9582629 51.0767862)"
"1989","WB 80 AV NE @ Saddlestone GV NE","POINT (-113.9254041 51.1252647)"
"4080","WB Bowfort RD @ Bowridge DR NW","POINT (-114.2098674 51.0850818)"
"5691","EB 63 AV SW @ Louise RD SW","POINT (-114.12253 50.9975485)"
"6046","EB McKinnon DR @ 19 ST NE","POINT (-114.0127316 51.0653472)"
"8243","WB Sunvale DR@ Sundown RD SE","POINT (-114.0507624 50.8997084)"
"7939","WB Morley TR @ 28 AV NW","POINT (-114.1136659 51.078508)"
"6304","NB Erin Woods DR @ Erin Park CL SE","POINT (-113.9731032 51.0205029)"
"9086","EB Woodpark BV @ 24 ST SW","POINT (-114.1174301 50.9356367)"
"5946","SB Everridge DR @ Everwoods GA SW","POINT (-114.1238706 50.9170861)"
"7885","EB Castleridge DR @ Castlebrook DR NE","POINT (-113.9620701 51.1073604)"
"6317","EB 46 AV NW @ 81 ST NW","POINT (-114.2045588 51.0940125)"
"2912","SB 1 St NE @ 144 Av NE","POINT (-114.0694512 51.1828485)"
"7570","Rundle LRT Station (SB 36 ST NE @ 25 AV NE)","POINT (-113.9820065 51.0745417)"
"6780","NB 36 ST NE @ Whitefield DR","POINT (-113.9813769 51.0888994)"
"2274","EB Country Hills BV @ 14 ST NE","POINT (-114.0262139 51.1541191)"
"9666","WB 80 AV NE @ 52 ST NE","POINT (-113.9570699 51.1253246)"
"7488","SB 83 ST NW @ 33 AV NW","POINT (-114.209656 51.0892098)"
"5212","NB Elbow DR @ 73 AV SW","POINT (-114.0830277 50.9880679)"
"5102","SB Hunterview DR @ Huntsbay RD NW","POINT (-114.0799917 51.1114286)"
"7814","NB 4 ST SW @ 19 AV SW","POINT (-114.0711362 51.0365424)"
"7351","WB 37 AV NE @ 26 ST NE","POINT (-113.998456 51.08674)"
"4438","SB Evanston VW @ Evansford RD NW","POINT (-114.1128342 51.1665368)"
"5896","NB 41 ST SE @ 30 AV SE","POINT (-113.9741576 51.0273035)"
"7568","NB 32 ST NE @ Sunridge BV NE","POINT (-113.988554 51.0764827)"
"7516","SB 21 ST NE @ 25 AV NE","POINT (-114.0091785 51.07462)"
"7225","EB Hawkstone DR @ Hawkmount HT NW","POINT (-114.1747545 51.1348957)"
"5405","SB 23 ST NW@ 2 AV NW","POINT (-114.1154869 51.0540601)"
"3929","NB Sheriff King ST @ Silverado WY SW","POINT (-114.0708646 50.8816248)"
"8573","WB Scurfield DR @ Scotia LD NW","POINT (-114.2127609 51.1224425)"
"5699","WB 12 AV NW @ 21 ST NW","POINT (-114.1097639 51.0634531)"
"2078","SB Shaganappi TR @ Symons Valley PY NW","POINT (-114.151743 51.1672782)"
"2537","SB Redstone BV @ Redstone DR NE","POINT (-113.9512099 51.167692)"
"4797","Shawnessy LRT Station","POINT (-114.0697021 50.9109168)"
"9211","WB Evergreen DR @ Evergreen HL SW","POINT (-114.1001603 50.927671)"
"8958","SB 45 ST SW @ 33 AV SW","POINT (-114.1525904 51.0236329)"
"2887","SB 24 ST @ Palistone RD SW","POINT (-114.1181576 50.967225)"
"7115","NB Silver Springs DR @ S of Silver Springs HILL NW","POINT (-114.1848103 51.1061398)"
"3670","EB 194 AV SE @ Walden GA SE","POINT (-114.0358998 50.877111)"
"6208","SB Macleod TR @ S. of 61 AV SW","POINT (-114.0717904 50.9965566)"
"6344","NB 37 ST SW @ RICHMOND RD","POINT (-114.1409969 51.0222162)"
"6054","WB Rundlehorn DR @ 50 ST NE","POINT (-113.9618383 51.0716891)"
"3847","Brentwood LRT Station","POINT (-114.1321812 51.0864296)"
"9779","NB Cranston DR @ Cramond DR SE","POINT (-113.9800623 50.892415)"
"3838","WB Crowfoot CR @ Crowfoot GA NW","POINT (-114.2010872 51.1292422)"
"4377","SB Madigan DR @ Malvern DR NE","POINT (-113.9406524 51.0578143)"
"7860","EB Hidden Valley DR @ Hidden Valley CR NW","POINT (-114.0989262 51.1460623)"
"4431","SB 9 ST SE @ N. of 42 AV SE","POINT (-114.0407892 51.0180284)"
"9645","McKnight-Westwinds LRT Station","POINT (-113.9753435 51.1086583)"
"7012","SB Canterbury DR @ 116 AV SW","POINT (-114.0895843 50.9454606)"
"8575","NB Saddlebrook DR @ Saddlestone WY NE","POINT (-113.9296276 51.1264336)"
"2052","EB Nolan Hill BV @ Nolanshire GR NW","POINT (-114.1640484 51.1726782)"
"7099","EB Dalhousie DR @ Dalgetty DR NW","POINT (-114.1496675 51.1032819)"
"7972","NB 7 ST SE @ N. of 42 AV SE","POINT (-114.0456827 51.0193397)"
"6709","Franklin LRT Station S Lot (WB Radcliffe DR SE)","POINT (-113.9944111 51.0466838)"
"2407","WB Cityscape BV @ Cityscape DR NE","POINT (-113.9678451 51.1472799)"
"9560","EB McKenzie Towne DR @ Elgin ST SE","POINT (-113.9665311 50.9061747)"
"2207","SB Legacy CI SE @ Legacy Village WY","POINT (-114.0173642 50.8573492)"
"9718","WB Panamount BV @ Panamount LN NW","POINT (-114.0832078 51.1572113)"
"4202","SB Macleod TR @ 96 AV SW","POINT (-114.0718625 50.9682513)"
"9184","EB Shawnee DR @ Shawnee CO SW","POINT (-114.0801015 50.9250209)"
"4808","SB Fairmount DR @ Fredson DR SE","POINT (-114.0600713 50.9819421)"
"6382","NB 52 ST SE @ 5 AV SE","POINT (-113.9556794 51.0493739)"
"5093","NB 4 ST NW @ Highland PL","POINT (-114.071359 51.0951927)"
"9116","WB Woodbine BV @ Woodglen WY SW","POINT (-114.1301005 50.9469408)"
"4767","WB Shawnee DR @ Shawnee CO SW","POINT (-114.0804245 50.9253168)"
"6967","WB California BV @ Burroughs MR NE","POINT (-113.9273254 51.078432)"
"8057","EB Rivervalley DR @ Riverview PA SE","POINT (-114.0191794 50.9727554)"
"5254","NB Edmonton TR @ Meredith RD NE","POINT (-114.0501033 51.0523459)"
"7519","WB 27 AV NE @ 21 ST NE","POINT (-114.0096979 51.076972)"
"5631","WB Oakfield DR @ 24 ST SW","POINT (-114.1188994 50.9542295)"
"8202","SB 20A ST SE @ Lynndale RD","POINT (-114.0102924 50.9919934)"
"6305","WB Erin Woods BV @ Erin Dale CR SE","POINT (-113.9789039 51.0183684)"
"9224","WB Shawnessy BV @ Millrise DR SW","POINT (-114.0932421 50.9142465)"
"7397","WB 32 AV NE @ 23 ST NE","POINT (-114.0059299 51.0815888)"
"4698","SB 16 ST SW @ 46 AV SW","POINT (-114.1006002 51.0120543)"
"4002","Dalhousie LRT Station NB","POINT (-114.1582995 51.1041668)"
"6815","SB Brentwood CTrain Station","POINT (-114.1314076 51.0866985)"
"7453","NB Douglasdale BV @ Douglas Woods RD SE","POINT (-113.9835198 50.9391239)"
"2570","NB Grey Eagle Blvd @ Grey Eagle Dr SW","POINT (-114.1425115 51.0039237)"
"4542","SB 8 ST SE @ 11 AV SE","POINT (-114.0418236 51.0398494)"
"2969","NB Tuscany DR @ Tuscany BV NW","POINT (-114.2540068 51.1211721)"
"8973","EB Northmount DR @ Columbia PL NW","POINT (-114.1062185 51.0868687)"
"9313","EB 162 AV SW @ 6 ST SW","POINT (-114.0754364 50.9025154)"
"2089","SB Symons Valley PY @ Evanston DR (South Leg) NW","POINT (-114.1089403 51.1728646)"
"5912","WB Ranchview DR @ Ranchview DR NW","POINT (-114.1845132 51.1206589)"
"9589","NB Country Hills DR @ Country Hills  PL NW","POINT (-114.065727 51.1480038)"
"5939","WB Arbour Lake RD @ Watergrove PARK","POINT (-114.2142483 51.1288371)"
"7307","SB 4 ST SW @ 14 AV SW","POINT (-114.071651 51.0394859)"
"7849","SB Douglasview BV @ Douglasdale BV SE","POINT (-113.9913566 50.9403426)"
"9454","SB Douglas Glen BV @ Douglas Glen GA SE","POINT (-114.0041339 50.9541821)"
"6909","SB 18 ST SE @ Riverview CL","POINT (-114.0153397 50.9697609)"
"7097","EB Dalhousie DR @ Dalham CR NW","POINT (-114.158502 51.1062225)"
"9391","NB Shawnessy CTrain Station","POINT (-114.070522 50.9107755)"
"9552","EB Saddlehorn DR @ 60 ST NE","POINT (-113.945868 51.1294138)"
"4754","SB Millrise DR @ Millview RD SW","POINT (-114.0925429 50.9169933)"
"4952","NB Lake Fraser Dr @ Avenida Mall SE","POINT (-114.0682917 50.943751)"
"8113","SB 36 ST SE @ 23 AV SE","POINT (-113.9817732 51.0328077)"
"7790","SB  Patina DR @ Village GD SW","POINT (-114.166161 51.0566949)"
"7664","NB Inverness GA @ Promenade WY SE","POINT (-113.9650327 50.9141145)"
"3970","WB Copperfield BV @ Copperfield CR SE","POINT (-113.9398909 50.9088107)"
"8559","SB Chinook CTrain Station","POINT (-114.0658465 50.9974598)"
"8685","SB Elbow DR @ Canata CL SW","POINT (-114.086048 50.9439511)"
"5217","NB 4 ST SW@ 25 AV SW fs","POINT (-114.0714284 51.0307129)"
"8833","EB 17 AV SE @ 31 ST SE","POINT (-113.9888872 51.0377138)"
"5409","WB 24 AV NW @ Upper PL","POINT (-114.1329973 51.074484)"
"2032","SB Nolan Hill Dr @ NolanCrest Heights NW","POINT (-114.1622518 51.1762118)"
"9104","EB Canyon Meadows DR @ Bonaventure DR SE","POINT (-114.0620597 50.9301413)"
