GETBUSID,TRADENAME,ADDRESS,COMDISTNM,LICENCETYPES,JOBSTATUSDESC,POINT
16172132,DEVILLE COFFEE,#292 10816 MACLEOD TR SE,WILLOW PARK,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0700887 50.9566912)
12776464,STARBUCKS COFFEE #3138,#178 100 ANDERSON RD SE,WILLOW PARK,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0646174 50.9530437)
16107401,TIM HORTONS,347 SOUTHLAND DR SE,WILLOW PARK,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0602143 50.9637189)
16009227,BOMBAY BEACH CAFE,#726 5075 FALCONRIDGE BV NE,WESTWINDS,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-113.9629396 51.0970393)
13886759,TIM HORTONS,5105 FALCONRIDGE BV NE,WESTWINDS,"FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-113.9593203 51.09805)
12584173,TIM HORTONS,#402 917 85 ST SW,WEST SPRINGS,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.2120625 51.0594244)
16566887,FRESH HEALTHY CAFE,#315 8560 8A AV SW,WEST SPRINGS,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.2103949 51.0623012)
16037046,DEVILLE COFFEE GATEWAY,8509 BROADCAST AV SW,WEST SPRINGS,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.2097359 51.0645519)
15927056,ECLIPSE BAKERY & CAFE,#210 8560 8A AV SW,WEST SPRINGS,FOOD SERVICE - PREMISES (SEATING),Licensed,POINT (-114.2105451 51.0618497)
12336269,DAIRY LANE CAFE (THE),319 19 ST NW,WEST HILLHURST,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.1059199 51.0550465)
15018369,AMATO GELATO CAFE,#7 2104 KENSINGTON RD NW,WEST HILLHURST,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.1084946 51.0528538)
15269814,SUNTERRA MARKET & CAFE,2536 KENSINGTON RD NW,WEST HILLHURST,"RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.1196475 51.0526371)
