Library,Location,Address
Seton Library,POINT (-113.9441792 50.881189),4995 Market St Se
Central Library,POINT (-114.0551754 51.0455118),800 3 St Se
Quarry Park Library,POINT (-114.0060594 50.9615878),108 Quarry Park Rd Se
Sage Hill Library,POINT (-114.1471029 51.1689113),19 Sage Hill
Rocky Ridge Library,POINT (-114.2312213 51.157048),11300 Rocky Ridge Rd Nw
Giuffre Family Library,POINT (-114.0955034 51.0254458),3223 14 St Sw
Nicholls Family Library,POINT (-114.1358227 51.0404114),1421 33 St Sw
Louise Riley Library,POINT (-114.1038132 51.0652428),1904 14 Av NW
Village Square Library,POINT (-113.9525833 51.0753708),2623 56 St NE
Judith Umbach Library,POINT (-114.0633087 51.1121979),6617 Centre St N
Forest Lawn Branch,POINT (-113.9652023 51.045105),4807 8 Av SE
Shawnessy Library,POINT (-114.062851 50.8986015),333 Shawville
Signal Hill Library,POINT (-114.1756439 51.0181122),5994 Signal Hill
Southwood Library,POINT (-114.0860367 50.963623),924 Southland Dr SW
Nose Hill Library,POINT (-114.1391296 51.0960922),1530 Northmount Dr NW
Country Hills Library,POINT (-114.0675659 51.159462),388 Country Hills Bv NE
Crowfoot Library,POINT (-114.1926956 51.1295815),8685 Nose hill Dr NW
Memorial Park Library,POINT (-114.0683823 51.0412674),1221 2 St SW
Bowness Library,POINT (-114.1830978 51.0872841),7930 Bowness Rd NW
Fish Creek Library,POINT (-114.0603409 50.9516296),11161 Bonaventure Dr SE
Saddletowne Library,POINT (-113.9485092 51.1196709),7556 Falconridge Bl NE
