Buildings,Point
Administration,POINT (-114.1270986885325 51.07816653210553)
Art,POINT (-114.12981185029852 51.07558491209446)
Biological Sciences,POINT (-114.1254508896554 51.08021684646343)
CCIT,POINT (-114.13379569595371 51.08034815278678)
Craigie Hall,POINT (-114.12916667863276 51.0767812487038)
Engineering,POINT (-114.13199031769678 51.08042141030513)
Kinesiology,POINT (-114.13341554480117 51.07785903444471)
Earth Sciences,POINT (-114.12910625180196 51.08023135071635)
Education,POINT (-114.12644145524267 51.07695621346998)
EEEL,POINT (-114.12971187204369 51.08093512262643)
Hunter Student Commons,POINT (-114.12920664902373 51.07795947496488)
ICT,POINT (-114.13049226118227 51.080096292738375)
MacEwan Student Centre,POINT (-114.13191073509616 51.07835712123966)
MackKimmie Tower,POINT (-114.12877111008812 51.07749316317257)
Math Sciences,POINT (-114.1278153136787 51.07992055155382)
Mathison Hall,POINT (-114.124697758785 51.076737492756365)
Mechanical Engineering,POINT (-114.13016757657697 51.08207554853428)
Murray Fraser Hall,POINT (-114.12837392864864 51.07698754624655)
Professional Faculties,POINT (-114.12686043548511 51.07731165829549)
Science A,POINT (-114.12811598993987 51.07916810933622)
Science B,POINT (-114.12951568666082 51.079308710423945)
Science Theatres,POINT (-114.12708044202176 51.07967093498038)
Scurfield Hall,POINT (-114.12470209529555 51.07737838695964)
Social Sciences,POINT (-114.12690713226792 51.07911517085799)
TFDL,POINT (-114.12984683328156 51.077527789857015)
TITL,POINT (-114.13150443840019 51.079054507624164)
